1M2Z;BF
1N83;BH
1Q5K;CW
1QPJ;DK
1SQN;BI
1Y2K;EF
1Y57;DM
2AM9;BB
2AX9;BC
2HI4;DQ
2NNJ;DT
2PL0;DL
2Q8G;DA
3E6I;DW
3ERD;BD
3HNG;DO
3IBD;DR
3L54;CZ
3NXU;DX
3PBL;Z
3V8S;DB
3VO3;DP
4AF3;DI
4DJH;AI
4EBV;CU
4EIY;D
4GQS;DS
4IAR;AT
4IB4;AX
4LDE;L
4N6H;U
4OAR;BJ
4OD9;EG
4U0I;DJ
4UHR;E
4WKQ;CR
5A5I;DU
5E1S;CX
5EW8;CT
5H8N;BO
5H8Q_allosteric_pocket;BP
5IKR;EB
5JFW;CY
5K13;BK
5OS5;DF
5OSF;DG
5U09;N
5V54;AU
5VEU;DY
5XRA;O
5ZKC;AO
5ZTY;P
6CM4;X
6DS0;AY
6DZZ;CL
6FO5;EI
6IAR;BE
6KUX;H
6O4W;DZ
6PS2;M
6PT3;V
6WJC;AM
6X3X_GABA_pocket_alpha1_beta2;BN
6X3X_benzo_pocket_alpha1_gamma2;BM
6YG5;CP
6YOJ;CV
6YZ4;CQ
6ZFZ;AN
7AK0;EH
7BU7;J
7BVQ;K
7CMV;AA
7EJ8;I
7EU7;BQ
7F8Y;R
7JNT;DC
7JVP;W
7JVR;Y
7L28;EE
7NG7;DN
7NI4;DD
7S8O;AK
7T8X;AP
7TXT;CM
7UL3;AG
7WC6;AV
7WC8;AW
7XNN_elbow_pocket;CB
7Y7Y;CG
7Y7Z;CH
7YM8;F
7YMJ;G
8A27;CS
8BLB;BW
8DZR;AJ
8EA0;AQ
8EFO;AL
8GUR;Q
8JLZ;AZ
8PJK;AS
8SSO;DH
8ST2_pocket_alpha_alpha;BU
8ST2_pocket_alpha_beta;BV
8WE8;BY
8WEA;BZ
8XVK;AB
8Y2F;CE
8YN2;AE
8YN3;AH
8ZP2;CI
8ZYQ;BT
9EO4;CF
9GFE;BL
9GYO;AD
2V5Z;ED
2Z5X;EC
3RZE;AF
3TBG;DV
4LSJ;BG
5H8Q_glutamat_pocket;BR
5H8Q_glycin_pocket;BS
5I73_neu;CN
6Y3C;EA
7DTC;BX
7F8W;T
7MBX;S
7XNN_allosteric_pocket_chinidin;CD
7XNN_pore_pocket_2;CC
8FHS;CA
8HCQ;AC
8JBF;AR
8WGR_inward_open_allosteric_poc;CJ
8WGR_inward_open_central_pocket;CK
8Y6H;CO
P37288;BA
Q8TDR2;DE